,Julian Day,Julian Day QC,Latitude,Longitude,Position QC,Pressure,Pressure QC,Temperature Adjusted,Temperature Adjusted QC,Temperature,Temperature QC,Salinity Adjusted,Salinity Adjusted QC,Salinity,Salinity QC,Oxygen,Oxygen QC,Nitrate,Nitrate QC,pH,pH QC,Yearday
153,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,309.79998779296875,1.0,16.259950954773885,1.0,16.333999633789062,1.0,35.68685545914263,1.0,35.51900100708008,1.0,203.67218017578125,1.0,4.764492034912109,1.0,8.002965927124023,1.0,130.32278936128296
159,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,321.79998779296875,1.0,16.016238271755917,1.0,16.090999603271484,1.0,35.66173852565895,1.0,35.49399948120117,1.0,201.12417602539062,1.0,5.54393196105957,1.0,7.994314193725586,1.0,130.32278936128296
164,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,331.79998779296875,1.0,15.932011739078252,1.0,16.007999420166016,1.0,35.654714758334,1.0,35.48699951171875,1.0,200.3314666748047,1.0,5.716447353363037,1.0,7.993205547332764,1.0,130.32278936128296
168,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,339.79998779296875,1.0,15.786376599230522,1.0,15.86299991607666,1.0,35.64367704542948,1.0,35.47600173950195,1.0,200.36500549316406,1.0,5.886153221130371,1.0,7.991240501403809,1.0,130.32278936128296
173,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,349.79998779296875,1.0,15.680309929756989,1.0,15.758000373840332,1.0,35.63363309073342,1.0,35.465999603271484,1.0,200.2104949951172,1.0,5.989110469818115,1.0,7.98900842666626,1.0,130.32278936128296
178,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,359.79998779296875,1.0,15.47569930816315,1.0,15.553999900817871,1.0,35.61655371998241,1.0,35.44900131225586,1.0,201.3325653076172,1.0,6.1768341064453125,1.0,7.986824989318848,1.0,130.32278936128296
189,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,381.79998779296875,1.0,15.147678071671418,1.0,15.227999687194824,1.0,35.595482757916415,1.0,35.428001403808594,1.0,204.62538146972656,1.0,6.366021156311035,1.0,7.987239360809326,1.0,130.32278936128296
199,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,401.79998779296875,1.0,14.800374748398655,1.0,14.881999969482422,1.0,35.56433786534573,1.0,35.39699935913086,1.0,206.369384765625,1.0,6.518807888031006,1.0,7.985286712646484,1.0,130.32278936128296
224,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,451.79998779296875,1.0,14.140554427301502,1.0,14.22599983215332,1.0,35.49606756221961,1.0,35.32899856567383,1.0,209.85760498046875,1.0,7.387320518493652,1.0,7.982218265533447,1.0,130.32278936128296
249,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,501.79998779296875,1.0,13.536018875998808,1.0,13.625,1.0,35.423765187406076,1.0,35.25699996948242,1.0,215.68719482421875,1.0,8.081827163696289,1.0,7.981133460998535,1.0,130.32278936128296
